Codigo_new,Comentarios_ES,category_id,length_split,length_letters,CleanComment
COMIDA,la comida,0,2,9,com
COMIDA,comida,0,1,6,com
COMIDA,helados,0,1,7,hel
COMIDA,comida,0,1,6,com
COMIDA,el refrigerio podría ser menos Procesado y fomentar Hábitos saludables,0,10,70,refrigeri pod ser men proces foment habit salud
COMIDA,come cazuela,0,2,12,com cazuel
COMIDA,En tener mas Variedad de productos para los alergenos. Un grato saludo.,0,12,71,ten mas varied product alergen grat salud
COMIDA,los productos,0,2,13,product
COMIDA,las cantidades de comida son muy escasas .prefereixo la .antic comedor,0,11,70,cantid com escas  prefereix  antic comedor
COMIDA,"se me hace difícil. Si filo muy delgado, un poco más de variedad en el refrigerio. Algún tipo diferente de zumo (naranja) y palitos salados integrales. Pero lo ha hecho muy bien!",0,32,178,hac dificil si fil delg varied refrigeri algun tip diferent zum palit sal integral hac bien
COMIDA,"procure que el refrigerio no se reduzca a un zumo o una pepsi o agua y pastiset, magdalena o chips de tomate. En otras ocasiones me he encontrado mas confortable ...",0,31,165,procur refrigeri reduc zum pepsi agu pastiset magdalen chip tomat ocasion encontr mas confort    
COMIDA,"poder elegir en menú, algo diferente a los dos platos, por si ninguno de ellos apetece, dar una alternativa como fritos, ensaladilla, embutidos, etc ...",0,25,152,pod eleg menu diferent do plat si ningun apetec dar altern freir ensaladill embut etceter    
COMIDA,"zumo natural que sea natural expresado aquí, y mas vigilancia de los alimentos que se sirven, la tortilla de patatas estaba ácida y estoy embarazada",0,25,148,zum natural natural expres aqu mas vigil aliment serv tortill patat acid embaraz
COMIDA,Zumo de uva,0,3,11,zum uva
COMIDA,Revisar el pa.es muy gomoso. Todo lo demás muy bien. Personal muy atento.,0,13,73,revis pa  gomos demas bien personal atent
COMIDA,comida,0,1,6,com
COMIDA,siendo un poco más rápidos algo mucho y bocatas gratis y pitzas oka oka,0,14,71,ser rap bocat gratis pitz oka oka
COMIDA,uno de los platos estaba frio y Otros no se quedaba mas,0,12,55,plat fri qued mas
COMIDA,haga los bikinis mas grandes y el pan de los bocatas mes bueno,0,13,62,hac bikini mas grand pan bocat mes buen
COMIDA,comida,0,1,6,com
COMIDA,un comen de brocoli,0,4,19,com brocoli
COMIDA,mas variedad de come,0,4,20,mas varied com
COMIDA,el pan sin tomate,0,4,17,pan tomat
COMIDA,en que las croquetas no estén tan blandas,0,8,41,croquet tan bland
COMIDA,la alimentación debería ser mas saludable,0,6,41,aliment deb ser mas salud
COMIDA, el menú diario !!,0,4,18,menu diari
COMIDA,"el menu infantil es un timo, el segundo del menu normal lo han servido frío",0,15,75,menu infantil tim segund menu normal serv freir
COMIDA,cambiar los bocadillos de la r tRde en dialisis quiero Decir miedo la atarde,0,14,76,cambi bocadill r trde dialisis quer dec mied atard
COMIDA,mejor comida,0,2,12,mejor com
COMIDA,en tod,0,2,6,tod
COMIDA,comida sin gluten,0,3,17,com glut
COMIDA,Variedad menú,0,2,13,varied menu
COMIDA,el menú y televisión,0,4,20,menu television
COMIDA,Variedad menú,0,2,13,varied menu
COMIDA,variedad menús,0,2,14,varied menu
COMIDA,comida de mala calidad,0,4,22,com mal calid
COMIDA,calidad alimentos y atención camareros,0,5,38,calid aliment atencion camarer
COMIDA,en q tiene q tener mas sabores de pizza,0,9,39,q q ten mas sabor pizz
COMIDA,pero caramlos de soler,0,4,22,caraml sol
COMIDA,pan y pasttess no siq,0,5,21,pan pasttess siq
COMIDA,pero Variedad en platos,0,4,23,varied plat
COMIDA,En bebidas con alcohol,0,4,22,beb alcohol
COMIDA,agua,0,1,4,agu
COMIDA,! Comida sin gluten Variedad y calidad,0,7,38,com glut varied calid
COMIDA,"para desayunar, Unos Churros con azucar",0,6,39,desayun churr azuc
COMIDA,"comida sin azucar o bocadillos, gracias",0,6,39,com azuc bocadill graci
COMIDA,no hay licor de hierbas en la cafetería,0,8,39,licor hierb cafet
COMIDA,"creo que el espacio está muy bien, pero falta surtido de mengar💗",0,12,64,cre espaci bien falt surt meng
COMIDA,"el unico mejorable es la Cantidad de comida, té quedaré con hambre. un plato de secreto 8,50 y viene un Trozen de carne que no pesará ni 120 grs",0,29,144,unic mejor cantid com te qued hambr plat secret      ven troz carn pes     grs
COMIDA,la hamburguesa estaba cruda y fria en el centro. me la cambiaron por otra sin problema que esta muy bien. solo que la siguiente hamburguesa tenía el Mismo problema fria y cruda en el centro. asi que no me la comi,0,41,212,hamburgues crud fri centr cambi problem bien sol siguient hamburgues mism problem fri crud centr asi comi
COMIDA,pero comida para niños,0,4,22,com nin
COMIDA,la comida llena mucho,0,4,21,com llen
COMIDA,que haya mas platos a elegir en el menú,0,9,39,mas plat eleg menu
COMIDA,el bocadillo de jamon,0,4,21,bocadill jamon
COMIDA,que no Sean las cosas de plastico Porque tienes un sabor muy malo,0,13,65,cos plastic sabor mal
COMIDA,la presentación de los bocadillos y café. mejor en plato que en papel,0,13,69,present bocadill caf mejor plat papel
COMIDA,"Menu mas variado y no solo al mediodía, para que los padres de los niños quenportem mucho tiempo aquí deben cena cada día bocadillos y se merecen una cena de menú como dios manda también por las noches",0,38,201,menu mas vari sol mediod padr nin quenportem tiemp aqu deb cen cad dia bocadill merec cen menu dios mand noch
COMIDA,"Menu mas variado y no solo al mediodía, para que los padres de los niños quenportem mucho tiempo aquí deben cena cada día bocadillos y se merecen una cena de menú como dios manda también por las noches",0,38,201,menu mas vari sol mediod padr nin quenportem tiemp aqu deb cen cad dia bocadill merec cen menu dios mand noch
COMIDA,pizza,0,1,5,pizz
COMIDA,pizza,0,1,5,pizz
COMIDA, comida mejor,0,2,13,com mejor
COMIDA,Mejora la presentación de los bocadillos,0,6,40,mejor present bocadill
COMIDA,"Zumo de naranja natural, no tanto azucar",0,7,40,zum naranj natural azuc
COMIDA,comida para celiacos,0,3,20,com celiac
COMIDA,"los bocadillos tenan gusto de refritos y no hay variedad de escoger tipos de pan. siendo un hospital s, auria tener en cuento a los pacientes y acompañan con alergias alimentarias se lo intolerancias.",0,34,200,bocadill ten gust refrit varied escog tip pan ser hospital segund auri ten cont pacient acompan alergi alimentari intoler
COMIDA,youugurts 0%,0,2,12,youugurts   
COMIDA,pero Variedad de productos para personas con varias intolerancias alimenticias,0,10,78,varied product person vari intoler alimentici
COMIDA,los cuencos de las ensaladas iytortuuuuppwuro,0,6,45,cuenc ensal iytortuuuuppwur
COMIDA,poner tostadora para niños celiacos !!!!! mes surtido de productos sin gluten,0,12,77,pon tostador nin celiac mes surt product glut
COMIDA,la comida,0,2,9,com
COMIDA,"En los pescados, pero jugosos.Todo lo demas, correcto",0,8,53,pesc jugosos tod dem correct
COMIDA,"hemos perdido calidad en la comida, en lhorrari atención y profesionalidad en el servicio",0,14,89,perd calid com lhorrari atencion profesional servici
COMIDA,la comida,0,2,9,com
COMIDA,"El pan de mí bocadillo de salchichon estaba muy duro.  Perdon por las faltas pero soy un anciano, el siento",0,20,107,pan bocadill salchichon dur perdon falt ancian sent
COMIDA,por la noche la oferta es muy limitada en comidas,0,10,49,noch ofert limit com
COMIDA,el agua sabe mal. quiero sabor tutifruti,0,7,40,agu sab mal quer sabor tutifruti
COMIDA,mejores bocadillos,0,2,18,mejor bocadill
COMIDA,alguna ensalada en el menú. mes platos en el menú,0,10,49,algun ensal menu mes plat menu
COMIDA,la variedad,0,2,11,varied
COMIDA,la variedad,0,2,11,varied
COMIDA,"pero oferta caliente sin gluten, como bocadillos",0,7,48,ofert calent glut bocadill
COMIDA,acero cenas,0,2,11,acer cen
COMIDA,caramelos,0,1,9,caramel
COMIDA,la comida,0,2,9,com
COMIDA,en el arroz,0,3,11,arroz
COMIDA,no hay para hacer bocadillos calientes a los celiacos,0,9,53,hac bocadill calient celiac
COMIDA,pero comida,0,2,11,com
COMIDA,mes dulces,0,2,10,mes dulc
COMIDA,mes comida,0,2,10,mes com
COMIDA,lo comemos,0,2,10,com
COMIDA,la comida de los residentes se poca Cantidad para el que comian antes con la anterior empresa,0,17,93,com resident cantid comi anterior empres
COMIDA,"la comida es, regular y son nada de sabor grcias",0,10,48,com ser regul sabor grci
COMIDA,hacer pizzas,0,2,12,hac pizz
COMIDA,bocadillos,0,1,10,bocadill
COMIDA,judias muy cosidas,0,3,18,judi cos
COMIDA,dar un plato alegre Mejora el animo cuado uno esta de Bajon o Tiene ámbar un pobre con tarjeta,0,19,94,dar plat alegr mejor anim cuad bajon ambar pobr tarjet
COMIDA,introducción de productos ecológicos y de temporada,0,7,51,introduccion product ecolog tempor
COMIDA,la atendencia sobre la interna pero cuidado para q no pegan entre ellas.y miedo ultimo un poco mas de comida,0,20,108,atendent intern cuid q peg ellas y mied ultim mas com
COMIDA,plancha para hacer bocadillos sin gluten calientes,0,7,50,planch hac bocadill glut calient
COMIDA,pero cosas,0,2,10,cos
COMIDA,la ensalada cesar: demasiado salsa poco pollo.,0,7,46,ensal ces demasi sals poll
COMIDA,"mes platos al menú, sólo hay dos opciones",0,8,41,mes plat menu sol do opcion
COMIDA,Mejora las comidas,0,3,18,mejor com
COMIDA,tenan que tener comida caliente todo el día,0,8,43,ten ten com calent dia
COMIDA,"Para decir algo a mejorar que no haya productos frescos como fruta para después, la alimentación industrial no creo que sea el más adecuado.",0,24,140,dec mejor product fresc frut despues aliment industrial cre adecu
COMIDA,"en hacer platos para cenar por la noche, como antes, cada día bocadillos es muy duro, llevo 5 meses este hopital con mi hija ingresada",0,25,134,hac plat cen noch cad dia bocadill dur llev   mes hopital hij ingres
COMIDA,"mes platos al menú y pensando un poco más en la gente que no come cerdo, gracias",0,17,80,mes plat menu pens gent com cerd graci
COMIDA,"zumos naturales y cola cero cero sin azúcar ni cafeína y mas variedad del menú,",0,15,79,zum natural col cer cer azuc cafein mas varied menu
COMIDA,el meinuu,0,2,9,meinuu
COMIDA,el meinuu,0,2,9,meinuu
COMIDA,cafe !!!!!!!!,0,2,13,caf
COMIDA,los Regalices de la máquina están duros😬👍,0,7,41,regaliz maquin dur
COMIDA,la carta,0,2,8,cart
COMIDA,pero Variedad fruta,0,3,19,varied frut
COMIDA,la sopa ewtqba fria,0,4,19,sop ewtqba fri
COMIDA,"por favor en diakisis renueveven bocadillos, siempre igual y ya muchos año, quiro tortilla francesa, muy mala y pongan mas dias tortilla patata",0,23,143,favor diakisis renuevev bocadill siempr igual ano quir tortill frances mal pon mas dias tortill patat
COMIDA,Variedad,0,1,8,varied
COMIDA,el bocadillo de esta mañana era escasa y requemado. a la hora pido un café con leche y se me sirve en vaso sin niguna pregunta.,0,26,127,bocadill manan escas requem hor ped caf lech serv vas nigun pregunt
COMIDA,que quiero churros con azucar para desayunar,0,7,44,quer churr azuc desayun
COMIDA,calidad r,0,2,9,calid r
COMIDA,calidad r,0,2,9,calid r
COMIDA,carta mas variada,0,3,17,cart mas vari
COMIDA,en tañir mes lugar y mas cosas de comer granizars ec,0,11,52,tan mes lug mas cos com granizars ec
COMIDA,la comida,0,2,9,com
COMIDA,la comida,0,2,9,com
COMIDA,en mngada,0,2,9,mngad
COMIDA,en mngada,0,2,9,mngad
COMIDA,bocadillos,0,1,10,bocadill
COMIDA,la comida,0,2,9,com
COMIDA,la comida,0,2,9,com
COMIDA,"ya última hora (21:30) compré un bocadillo, y el tomate estaba super ácida",0,13,74,ultim hor compr bocadill tomat sup acid
COMIDA,variedad,0,1,8,varied
COMIDA,poner mas comida,0,3,16,pon mas com
COMIDA,platos variados,0,2,15,plat vari
COMIDA,comida vegetariana y vegano no hay nada sin carne,0,9,49,com vegetarian vegan carn
COMIDA,platos combinados,0,2,17,plat combin
COMIDA,variedad cenas,0,2,14,varied cen
COMIDA,"Variedades, menos aceite en la comida",0,6,37,varied men aceit com
COMIDA,pero Variedad en el menú,0,5,24,varied menu
COMIDA,mas variedad de platos en el menú,0,7,33,mas varied plat menu
COMIDA,pero platos en los menús,0,5,24,plat menu
COMIDA,calentar un poco pero la comida. pero muy bien todo. gracias,0,11,60,calent com bien graci
COMIDA,"pero Variedad de comida, pero opciones",0,6,38,varied com opcion
COMIDA,comida muy mala,0,3,15,com mal
COMIDA,Napolitanas podrían ser de chocolate,0,5,36,napolitan pod ser chocolat
COMIDA,mes producto sin gluten y vegano,0,6,32,mes product glut vegan
COMIDA,"estaba muy bien tit, enorabona 😘",0,6,32,bien tit enorabon  
COMIDA,Al no Psar tanto tomate en la pizza,0,8,35,psar tomat pizz
COMIDA,Mas Variedad de comida,0,4,22,mas varied com
COMIDA,la comida estaba muy mala,0,5,25,com mal
COMIDA,en poner hamburguesa en pan de barra. todo lo demas genial.,0,11,59,pon hamburgues pan barr dem genial
COMIDA,zumo natural recién exprimido,0,4,29,zum natural recien exprim
COMIDA,mes Varita de zumos no ácidos,0,6,29,mes varit zum acid
COMIDA,comida vegetariana más horas debo,0,5,33,com vegetarian hor deb
COMIDA,jamón al salteado de alcachofas,0,5,31,jamon salt alcachof
COMIDA,pero Variedad para vegetarianos,0,4,31,varied vegetarian
COMIDA, en comercio menos chuches😂,0,4,27,comerci men chuch
COMIDA,bocadillos sin gluten calientes,0,4,31,bocadill glut calient
COMIDA,plancha para bocadillos sin gluten,0,5,34,planch bocadill glut
COMIDA,"más variedad en el almuerzo y cena del menú, platos vegetarianos",0,11,64,varied almorz cen menu plat vegetarian
COMIDA,helados de postre,0,3,17,hel postr
COMIDA,cambiar los bocadillos de dialisis por la trde. están muy mal,0,11,61,cambi bocadill dialisis trde mal
COMIDA,zumo de mirtilo,0,3,15,zum mirtil
COMIDA,dar bocadillo a visitas,0,4,23,dar bocadill visit
COMIDA,en comercio menos dulce ...,0,5,27,comerci men dulc    
COMIDA,cambiar loo cambiar llos bocadillos de la tarde en dialisis,0,10,59,cambi loar cambi llos bocadill tard dialisis
COMIDA,no hay cerveza,0,3,14,cervez
COMIDA,"nada, todo bien",0,3,15,nad bien
COMIDA,_ Incluir menú vegano / vegetariano,0,6,35,inclu menu vegan vegetarian
